Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,EMA_9,EMA_21,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,ADX_14,DMP_14,DMN_14,returns,vol_ratio,target
103487.4609375,103630.140625,103450.328125,103450.328125,0,48.479865254684974,-52.02100370057451,-28.374772202163044,-23.646231498411467,103465.97317570428,103536.35576934135,103541.98292574385,102964.32564086262,103620.8328125,104277.33998413738,1.2671335557113623,0.37014255527875994,337.62388392857144,23.379342287202515,0.0,0.0,-0.0003787370083279118,0.0,0
103473.390625,103558.3046875,103150.75,103430.1328125,0,48.15824771314784,-52.946611795399804,-23.440304237590667,-29.506307557809137,103458.80510306342,103526.69913690122,103537.59664679313,102953.59566867027,103614.949609375,104276.30355007974,1.2765608499507426,0.3602739127266211,342.31138392857144,26.005885270791,0.0,0.0,-0.00019521748133655148,0.0,0
103443.9296875,103485.4765625,102849.2578125,102946.671875,853356544,41.124670622889035,-91.63510760421923,-49.703040037128076,-41.93206756709115,103356.37845745074,103473.9693858193,103514.42312633066,102871.1318066271,103558.2234375,104245.31506837289,1.3269668174397933,0.05497088377930583,359.13839285714283,28.540555900619108,0.0,0.0,-0.004674275516753146,3.116654449713525,0
102920.671875,103047.1953125,102860.109375,102880.9453125,0,40.263709439483705,-126.14547702590062,-67.37072756704757,-58.77474945885305,103261.29182846061,103420.05810642664,103489.58085912162,102772.54144826868,103523.0984375,104273.65542673132,1.4500280624511162,0.07221561173012697,338.89955357142856,30.80772680332788,0.0,0.0,-0.0006384525240389349,0.0,0
102902.2109375,103108.265625,102787.21875,103014.3203125,0,42.877130296188106,-141.10635931322759,-65.86528788349962,-75.24107142972797,103211.89752526849,103383.17285243332,103470.94319062665,102742.05739717183,103467.028515625,104191.99963407818,1.4013567971437317,0.18777500813348505,343.31082589285717,33.634429227828626,0.0,0.0,0.0012964013850658151,0.0,0
103017.671875,103060.8828125,102944.0,102951.1953125,0,41.94187413760423,-156.2554111416248,-64.81147176951745,-91.44393937210734,103159.7570827148,103343.90216698483,103450.5609208962,102735.56766795929,103403.76171875,104071.95576954071,1.2923979547439437,0.1613510658210352,339.86607142857144,36.401523275175244,0.0,0.0,-0.000612778881698306,0.0,0
102957.671875,103090.0859375,102691.1796875,102698.828125,0,38.34117781096683,-186.47549335884105,-76.02524318938697,-110.45025016945408,103067.57129117184,103285.25907225892,103421.08120341008,102644.11227852722,103345.41328125,104046.71428397279,1.3571981193093237,0.03901024400389452,351.9575892857143,39.81033150795701,0.0,0.0,-0.002451328386561813,0.0,0
102722.484375,103168.0859375,102722.484375,103150.3671875,0,47.09300754544466,-172.00690898932226,-49.245327055894535,-122.76158193342772,103084.13047043748,103272.99617364447,103410.46496749205,102637.8078236852,103314.42421875,103991.04061381481,1.3098198052813783,0.3787665858774432,357.2494419642857,42.89170022459465,0.0,0.0,0.00439673042763844,0.0,0
103149.2890625,103164.8125,102972.890625,102985.5078125,0,44.60370558372749,-171.86210603326617,-39.280419279870756,-132.58168675339542,103064.40593884999,103246.86086808587,103393.79998102179,102658.33874885722,103262.84296875,103867.34718864279,1.1708068507773364,0.2706094125371105,320.2739955357143,43.68970098524528,0.0,0.0,-0.0015982432200200014,0.0,0
102967.3046875,103120.8203125,102792.21875,102900.953125,0,43.33837925981043,-176.53521718128468,-35.16282434231141,-141.37239283897327,103031.71537608,103215.41470962352,103374.47265333467,102626.52119891782,103226.769921875,103827.01864483219,1.162971046001867,0.2285985089065772,306.4068080357143,45.079060677584515,0.0,0.0,-0.0008210348164126025,0.0,0
102957.8828125,103311.484375,102957.8828125,103165.0625,0,48.27430637191078,-157.11613512138138,-12.59499382592648,-144.5211412954549,103058.384800864,103210.83723602138,103366.26049045881,102631.59644462224,103204.58828125,103777.58011787778,1.1103999273099578,0.46550929810568775,311.71651785714283,46.229309729235084,0.0,0.0,0.002566636818992052,0.0,0
103165.6875,103271.125,103003.96875,103003.96875,842035200,45.66148719675052,-152.96204079956806,-6.7527196032905294,-146.20932119627753,103047.5015906912,103192.03101001943,103352.05297122513,102618.12653193602,103179.55546875,103740.98440556397,1.088256165212909,0.34362516140829313,318.8125,48.89682393737106,0.0,0.0,-0.0015615145873633107,3.2898553391835654,0
